1,Prod Masivo 1,384.72,98,6
2,Prod Masivo 2,270.82,138,2
3,Prod Masivo 3,183.6,92,1
4,Prod Masivo 4,442.69,51,3
5,Prod Masivo 5,488.2,110,5
6,Prod Masivo 6,50.55,118,6
7,Prod Masivo 7,54.43,193,6
8,Prod Masivo 8,313.69,177,5
9,Prod Masivo 9,241.01,198,7
10,Prod Masivo 10,196.69,20,5
11,Prod Masivo 11,73.09,95,6
12,Prod Masivo 12,244.64,188,2
13,Prod Masivo 13,281.1,60,8
14,Prod Masivo 14,161.4,150,6
15,Prod Masivo 15,74.19,90,2
16,Prod Masivo 16,272.3,38,6
17,Prod Masivo 17,85.73,115,5
18,Prod Masivo 18,189.94,125,7
19,Prod Masivo 19,272.1,79,1
20,Prod Masivo 20,159.22,143,6
21,Prod Masivo 21,364.18,174,3
22,Prod Masivo 22,206.64,113,2
23,Prod Masivo 23,88.81,34,6
24,Prod Masivo 24,330.47,82,1
25,Prod Masivo 25,63.44,175,2
26,Prod Masivo 26,389.06,101,1
27,Prod Masivo 27,397.38,25,3
28,Prod Masivo 28,121.21,200,1
29,Prod Masivo 29,396.23,11,7
30,Prod Masivo 30,442.2,195,4
31,Prod Masivo 31,237.73,74,4
32,Prod Masivo 32,152.74,104,7
33,Prod Masivo 33,215.4,110,4
34,Prod Masivo 34,363.65,149,3
35,Prod Masivo 35,162.12,183,7
36,Prod Masivo 36,117.89,144,1
37,Prod Masivo 37,23.25,141,4
38,Prod Masivo 38,115.65,76,3
39,Prod Masivo 39,223.71,52,6
40,Prod Masivo 40,215.11,73,1
41,Prod Masivo 41,367.42,36,4
42,Prod Masivo 42,98.44,48,4
43,Prod Masivo 43,377.48,130,2
44,Prod Masivo 44,189.13,87,2
45,Prod Masivo 45,338.77,161,3
46,Prod Masivo 46,28.69,84,3
47,Prod Masivo 47,125.48,132,7
48,Prod Masivo 48,93.07,80,6
49,Prod Masivo 49,210.14,78,8
50,Prod Masivo 50,232.25,162,3
51,Prod Masivo 51,437.85,115,7
52,Prod Masivo 52,150.15,198,3
53,Prod Masivo 53,64.32,109,7
54,Prod Masivo 54,119.18,77,3
55,Prod Masivo 55,365.6,74,3
56,Prod Masivo 56,260.82,129,7
57,Prod Masivo 57,385.62,143,1
58,Prod Masivo 58,360.51,122,7
59,Prod Masivo 59,175.54,22,4
60,Prod Masivo 60,143.35,160,4
61,Prod Masivo 61,47.77,35,3
62,Prod Masivo 62,364.67,186,8
63,Prod Masivo 63,210.07,48,2
64,Prod Masivo 64,85.02,64,5
65,Prod Masivo 65,490.29,142,1
66,Prod Masivo 66,374.88,161,4
67,Prod Masivo 67,332.25,55,6
68,Prod Masivo 68,363.23,153,5
69,Prod Masivo 69,363.59,95,1
70,Prod Masivo 70,51.91,13,5
71,Prod Masivo 71,257.87,183,4
72,Prod Masivo 72,56.29,68,2
73,Prod Masivo 73,196.95,136,8
74,Prod Masivo 74,337.99,15,4
75,Prod Masivo 75,14.49,110,3
76,Prod Masivo 76,329.24,129,4
77,Prod Masivo 77,209.42,145,4
78,Prod Masivo 78,356.89,90,8
79,Prod Masivo 79,248.6,16,5
80,Prod Masivo 80,79.58,73,2
81,Prod Masivo 81,108.13,195,8
82,Prod Masivo 82,168.09,179,2
83,Prod Masivo 83,201.97,124,6
84,Prod Masivo 84,201.24,23,2
85,Prod Masivo 85,88.06,162,4
86,Prod Masivo 86,37.85,108,4
87,Prod Masivo 87,186.79,104,1
88,Prod Masivo 88,156.98,90,5
89,Prod Masivo 89,33.4,15,2
90,Prod Masivo 90,221.09,24,4
91,Prod Masivo 91,463.19,90,5
92,Prod Masivo 92,286.61,13,8
93,Prod Masivo 93,65.93,86,3
94,Prod Masivo 94,497.24,120,2
95,Prod Masivo 95,250.88,107,1
96,Prod Masivo 96,44.09,116,8
97,Prod Masivo 97,247.76,177,7
98,Prod Masivo 98,375.69,199,6
99,Prod Masivo 99,386.77,112,2
100,Prod Masivo 100,105.8,144,2
101,Prod Masivo 101,119.52,151,3
102,Prod Masivo 102,424.29,16,5
103,Prod Masivo 103,69.13,120,4
104,Prod Masivo 104,136.52,21,8
105,Prod Masivo 105,221.86,128,5
106,Prod Masivo 106,375.2,102,7
107,Prod Masivo 107,207.32,74,7
108,Prod Masivo 108,46.19,144,5
109,Prod Masivo 109,150.71,71,6
110,Prod Masivo 110,249.88,137,2
111,Prod Masivo 111,80.53,58,5
112,Prod Masivo 112,345.21,139,4
113,Prod Masivo 113,176.91,158,2
114,Prod Masivo 114,110.17,89,7
115,Prod Masivo 115,272.89,69,7
116,Prod Masivo 116,193.4,158,1
117,Prod Masivo 117,232.68,98,5
118,Prod Masivo 118,372.29,111,3
119,Prod Masivo 119,136.82,185,1
120,Prod Masivo 120,135.33,50,1
121,Prod Masivo 121,126.49,129,6
122,Prod Masivo 122,488.38,184,2
123,Prod Masivo 123,207.56,10,7
124,Prod Masivo 124,159.34,185,2
125,Prod Masivo 125,18.76,89,2
