1,7760,2025-12-01 12:00:00,Entregado,0
2,44552,2025-12-01 12:00:00,Entregado,0
3,93521,2025-12-01 12:00:00,Entregado,0
4,25457,2025-12-01 12:00:00,Entregado,0
5,49954,2025-12-01 12:00:00,Entregado,0
6,74648,2025-12-01 12:00:00,Entregado,0
7,37340,2025-12-01 12:00:00,Entregado,0
8,55305,2025-12-01 12:00:00,Entregado,0
9,15171,2025-12-01 12:00:00,Entregado,0
10,70451,2025-12-01 12:00:00,Entregado,0
11,49776,2025-12-01 12:00:00,Entregado,0
12,62700,2025-12-01 12:00:00,Entregado,0
13,74027,2025-12-01 12:00:00,Entregado,0
14,44096,2025-12-01 12:00:00,Entregado,0
15,7072,2025-12-01 12:00:00,Entregado,0
16,2417,2025-12-01 12:00:00,Entregado,0
17,38,2025-12-01 12:00:00,Entregado,0
18,32410,2025-12-01 12:00:00,Entregado,0
19,92693,2025-12-01 12:00:00,Entregado,0
20,27011,2025-12-01 12:00:00,Entregado,0
21,53266,2025-12-01 12:00:00,Entregado,0
22,91477,2025-12-01 12:00:00,Entregado,0
23,36976,2025-12-01 12:00:00,Entregado,0
24,96890,2025-12-01 12:00:00,Entregado,0
25,80932,2025-12-01 12:00:00,Entregado,0
26,69852,2025-12-01 12:00:00,Entregado,0
27,34260,2025-12-01 12:00:00,Entregado,0
28,27720,2025-12-01 12:00:00,Entregado,0
29,84414,2025-12-01 12:00:00,Entregado,0
30,33706,2025-12-01 12:00:00,Entregado,0
31,8891,2025-12-01 12:00:00,Entregado,0
32,16202,2025-12-01 12:00:00,Entregado,0
33,58716,2025-12-01 12:00:00,Entregado,0
34,42095,2025-12-01 12:00:00,Entregado,0
35,76757,2025-12-01 12:00:00,Entregado,0
36,90508,2025-12-01 12:00:00,Entregado,0
37,68641,2025-12-01 12:00:00,Entregado,0
38,63708,2025-12-01 12:00:00,Entregado,0
39,61175,2025-12-01 12:00:00,Entregado,0
40,5795,2025-12-01 12:00:00,Entregado,0
41,78173,2025-12-01 12:00:00,Entregado,0
42,70699,2025-12-01 12:00:00,Entregado,0
43,17386,2025-12-01 12:00:00,Entregado,0
44,96967,2025-12-01 12:00:00,Entregado,0
45,61973,2025-12-01 12:00:00,Entregado,0
46,89932,2025-12-01 12:00:00,Entregado,0
47,86084,2025-12-01 12:00:00,Entregado,0
48,60318,2025-12-01 12:00:00,Entregado,0
49,25137,2025-12-01 12:00:00,Entregado,0
50,63783,2025-12-01 12:00:00,Entregado,0
51,22060,2025-12-01 12:00:00,Entregado,0
52,93865,2025-12-01 12:00:00,Entregado,0
53,83424,2025-12-01 12:00:00,Entregado,0
54,14820,2025-12-01 12:00:00,Entregado,0
55,87142,2025-12-01 12:00:00,Entregado,0
56,52938,2025-12-01 12:00:00,Entregado,0
